YearLevel,Course,CourseCode,CourseTitle,Units,Prerequisite,Grade
2,BSIT,IT 212,"Data Structures",2.0,"IT 113, IT 122",Not yet taken
2,BSIT,IT 212L,"Data Structures (Lab)",1.0,"IT 113, IT 122",Not yet taken
2,BSIT,IT 213,"Network Fundamentals",2.0,"IT 131, IT 123",Not yet taken
2,BSIT,IT 213L,"Network Fundamentals (Lab)",1.0,"IT 131, IT 123",Not yet taken
2,BSIT,IT 221,"Information Management",2.0,"IT 212",Not yet taken
2,BSIT,IT 221L,"Information Management (Lab)",1.0,"IT 212",Not yet taken
2,BSIT,IT 222,"Integrative Technologies",2.0,"IT 122",Not yet taken
2,BSIT,IT 222L,"Integrative Technologies (Lab)",1.0,"IT 122",Not yet taken
2,BSIT,IT 223,"Human Computer Interaction",3.0,"IT 122",Not yet taken
2,BSIT,NSTP-CWTS 1,"Foundations of Service",3.0,"",Not yet taken
2,BSCS,NSTP-CWTS 1,"Foundations of Service",3.0,"",Not yet taken
2,BSIT,NSTP-CWTS 2,"Social Awareness and Empowerment for Service",3.0,"NSTP-CWTS 1",Not yet taken
2,BSCS,NSTP-CWTS 2,"Social Awareness and Empowerment for Service",3.0,"NSTP-CWTS 1",Not yet taken
3,BSIT,CFE 105A,""CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue"",1.5,"CFE 103, CFE 104",Not yet taken
3,BSCS,CFE 105A,""CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue"",1.5,"CFE 103, CFE 104",Not yet taken
3,BSIT,CFE 105B,""CICM in Action: Environmental Planning and Management and Disaster Risk Reduction Management"",1.5,"CFE 105A",Not yet taken
3,BSCS,CFE 105B,""CICM in Action: Environmental Planning and Management and Disaster Risk Reduction Management"",1.5,"CFE 105A",Not yet taken
3,BSCS,CS 311,"Applications Development",2.0,"CS 122",Not yet taken
3,BSCS,CS 311L,"Applications Development (Lab)",1.0,"CS 122",Not yet taken
3,BSCS,CS 312,"Web Systems Development",2.0,"CS 211",Not yet taken
3,BSCS,CS 312L,"Web Systems Development (Lab)",1.0,"CS 211",Not yet taken
3,BSCS,CS 313,"Software Engineering",3.0,"CS 131, CS 221",Not yet taken
3,BSCS,CS 314,"Social and Personal Development in the ICT Workplace",3.0,"CS 111, GSELF",Not yet taken
3,BSCS,CS 315,"Technology-Assisted Presentation and Presentation",3.0,"CS 111, GPCOM",Not yet taken
3,BSCS,CS 321,"Artificial Intelligence",3.0,"CS 132, CS 211",Not yet taken
3,BSCS,CS 322,"Data Science",2.0,"CS 221",Not yet taken
3,BSCS,CS 322L,"Data Science (Lab)",1.0,"CS 221",Not yet taken
