YearLevel,Course,Semester,CourseCode,CourseTitle,Units,Prerequisite,Grade
2,BSCS,1st Semester,NSTP-CWTS 1,Foundations of Service,3,,Not yet taken
2,BSCS,1st Semester,FIT OA,Physical Activity Towards Health and Fitness (Outdoor and Adventure Activities),2,,Not yet taken
2,BSCS,1st Semester,CFE 103,Catholic Foundation of Mission,3,,Not yet taken
2,BSCS,2nd Semester,CS 221,Information Management,2,CS 211,Not yet taken
2,BSCS,2nd Semester,CS 221L,Information Management (Lab),1,CS 211,Not yet taken
2,BSCS,2nd Semester,CS 222,Computer Programming 3,2,CS 122,Not yet taken
2,BSCS,2nd Semester,CS 222L,Computer Programming 3 (Lab),1,CS 122,Not yet taken
2,BSCS,2nd Semester,CS 223,Automata and Formal Languages,3,CS 132,Not yet taken
2,BSCS,2nd Semester,GETHICS,Ethics,3,,Not yet taken
2,BSCS,2nd Semester,GCWORLD,The Contemporary World,3,,Not yet taken
2,BSCS,2nd Semester,NSTP-CWTS 2,Social Awareness and Empowerment for Service,3,NSTP-CWTS 1,Not yet taken
2,BSCS,2nd Semester,FIT AQ,Physical Activity Towards Health and Fitness (Aquatics),2,,Not yet taken
2,BSCS,2nd Semester,CFE 104,CICM Missionary Identity,3,CFE 103,Not yet taken
2,BSCS,Short Term,CS 231,Computer Networks,2,CS 212,Not yet taken
2,BSCS,Short Term,CS 231L,Computer Networks (Lab),1,CS 212,Not yet taken
2,BSCS,Short Term,GRIZAL,The Life and Works of Rizal,3,,Not yet taken
2,BSCS,Short Term,GENTREP,The Entrepreneurial Mind,3,,Not yet taken
3,BSIT,1st Semester,IT 311,Applications Development,2,IT 122,Not yet taken
3,BSIT,1st Semester,IT 311L,Applications Development (Lab),1,IT 122,Not yet taken
3,BSIT,1st Semester,IT 312,Web Technologies,2,IT 212,Not yet taken
3,BSIT,1st Semester,IT 312L,Web Technologies (Lab),1,IT 212,Not yet taken
3,BSIT,1st Semester,IT 313,Software Engineering,3,"IT 211, IT 221",Not yet taken
3,BSIT,1st Semester,IT 314,Social and Professional Issues in Information Technology,3,"GETHICS, IT 231",Not yet taken
3,BSIT,1st Semester,IT 315,Technopreneurship,3,"GENTREP, IT 211",Not yet taken
3,BSIT,1st Semester,ITE,Elective 1,3,3rd year standing,Not yet taken
3,BSIT,1st Semester,CFE 105A,"CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue",1.5,"CFE 103, CFE 104",Not yet taken
3,BSIT,2nd Semester,IT 321,IT Project 1,3,3rd year standing,Not yet taken
3,BSIT,2nd Semester,IT 322,Data Analytics,2,IT 221,Not yet taken
3,BSIT,2nd Semester,IT 322L,Data Analytics (Lab),1,IT 221,Not yet taken
3,BSIT,2nd Semester,IT 323,System Administration and Maintenance,2,IT 213,Not yet taken
3,BSIT,2nd Semester,IT 323L,System Administration and Maintenance (Lab),1,IT 213,Not yet taken
3,BSIT,2nd Semester,IT 324,System Integration and Architecture,3,"IT 211, IT 222",Not yet taken
3,BSIT,2nd Semester,IT 325,Field Trips and Seminars,3,3rd year standing,Not yet taken
3,BSIT,2nd Semester,ITE,Elective 2,3,3rd year standing,Not yet taken
3,BSIT,2nd Semester,CFE 105B,CICM in Action: Environmental Planning and Management and Disaster Risk Reduction Management,1.5,CFE 105A,Not yet taken
3,BSIT,Short Term,IT 331,Information Assurance and Security,3,core courses,Not yet taken
3,BSIT,Short Term,ITE,Elective 3,3,3rd year standing,Not yet taken
3,BSCS,1st Semester,CS 311,Applications Development,2,CS 122,Not yet taken
3,BSCS,1st Semester,CS 311L,Applications Development (Lab),1,CS 122,Not yet taken
3,BSCS,1st Semester,CS 312,Web Systems Development,2,CS 211,Not yet taken
3,BSCS,1st Semester,CS 312L,Web Systems Development (Lab),1,CS 211,Not yet taken
3,BSCS,1st Semester,CS 313,Software Engineering,3,"CS 131, CS 221",Not yet taken
3,BSCS,1st Semester,CS 314,Social and Personal Development in the ICT Workplace,3,"CS 111, GSELF",Not yet taken
3,BSCS,1st Semester,CS 315,Technology-Assisted Presentation and Presentation,3,"CS 111, GPCOM",Not yet taken
3,BSCS,1st Semester,CSM 316,Numerical Methods for Computer Science,3,CS 132,Not yet taken
3,BSCS,1st Semester,CFE 105A,"CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue",1.5,"CFE 103, CFE 104",Not yet taken
3,BSCS,2nd Semester,CS 321,Artificial Intelligence,3,"CS 132, CS 211",Not yet taken
3,BSCS,2nd Semester,CS 322,Data Science,2,CS 221,Not yet taken
3,BSCS,2nd Semester,CS 322L,Data Science (Lab),1,CS 221,Not yet taken
3,BSCS,2nd Semester,CS 323,Modeling and Simulation,2,"CS 132, CS 211",Not yet taken
3,BSCS,2nd Semester,CS 323L,Modeling and Simulation (Lab),1,"CS 132, CS 211",Not yet taken
3,BSCS,2nd Semester,CS 324,Methods of Research in Computer Science,3,3rd year standing,Not yet taken
3,BSCS,2nd Semester,CS 325,Structure of Programming Languages,3,CS 211,Not yet taken
3,BSCS,2nd Semester,CFE 105B,CICM in Action: Environmental Planning and Management and Disaster Risk Reduction Management,1.5,CFE 105A,Not yet taken
3,BSCS,Short Term,CS 331,Practicum,6,4th year standing,Not yet taken
4,BSIT,1st Semester,IT 411,IT Project 2,3,IT 321,Not yet taken
4,BSIT,1st Semester,IT 412,IT Resource Management,3,"IT 313, IT 324",Not yet taken
4,BSIT,1st Semester,ITE,Elective 4,3,3rd year standing,Not yet taken
4,BSIT,1st Semester,ITE,Elective 5,3,3rd year standing,Not yet taken
4,BSIT,1st Semester,CFE 106A,Embracing the CICM Mission,1.5,CFE 105B,Not yet taken
4,BSIT,2nd Semester,IT 421,Practicum,9,4th year standing,Not yet taken
4,BSIT,2nd Semester,CFE 106B,Embracing the CICM Mission,1.5,CFE 106A,Not yet taken
4,BSIT,2nd Semester,FOR LANG 1,Foreign Language 1,3,,Not yet taken
4,BSCS,1st Semester,CFE 106A,Embracing the CICM Mission,1.5,CFE 105B,Not yet taken
